lncRNA,Index
RP11-966I7.2,1099
LINC00844,1100
RP11-443B7.1,1101
RP11-384J4.1,1102
AC009133.14,1103
LBX2-AS1,1104
RP11-540D4.3,1105
CTD-2576D5.4,1106
RP11-70F11.8,1107
RP11-111J6.2,1108
RP11-864J10.4,1109
KMT2E-AS1,1110
LINC00973,1111
RP11-14J7.6,1112
RP11-81N13.1,1113
CT60,1114
USP46-AS1,1115
CTD-3049M7.1,1116
LINC01146,1117
RPPH1,1118
CASC16,1119
DNAJB8-AS1,1120
RP11-546O6.4,1121
RP11-379K22.2,1122
RP11-446F17.3,1123
ARHGEF26-AS1,1124
RP11-109E24.2,1125
RP11-440L14.1,1126
LINC00927,1127
RP11-531A24.3,1128
RP11-44F21.3,1129
RP11-707A18.1,1130
AQP4-AS1,1131
RP11-626I20.3,1132
RP11-467D6.1,1133
LINC01096,1134
RP3-513G18.2,1135
LINC00561,1136
RP1-179N16.6,1137
RP11-489G11.3,1138
RP3-496C20.1,1139
RP11-791M20.1,1140
RP11-533E19.5,1141
AC156455.1,1142
RP11-1006G14.1,1143
RP11-65J3.14,1144
RP11-855O10.2,1145
RP11-856M7.1,1146
RP11-319E16.1,1147
RP11-143I21.1,1148
CTD-2561B21.11,1149
RP11-81H3.2,1150
AF001548.5,1151
RP1-302G2.5,1152
RP5-968P14.2,1153
RP11-142C4.6,1154
CTA-445C9.14,1155
RP11-252C15.1,1156
RP11-179B15.6,1157
RP11-285A1.1,1158
RP11-103J17.2,1159
ALDH3B1,1160
PIGL,1161
RP11-74C13.3,1162
TTC5,1163
RP1-149A16.3,1164
AC079807.4,1165
CTD-2377D24.6,1166
RP11-113E21.1,1167
LINC00521,1168
MRVI1-AS1,1169
LINC00311,1170
LINC00174,1171
AC016700.5,1172
LINC00396,1173
LINC00899,1174
CTA-833B7.2,1175
DLX6-AS1,1176
LINC00158,1177
LINC00839,1178
RP11-764E7.1,1179
CTB-161K23.1,1180
LINC00943,1181
CTBP1-AS2,1182
RP11-1277A3.1,1183
MLLT4-AS1,1184
AC004988.1,1185
AC012507.3,1186
RP4-591N18.2,1187
ST8SIA6-AS1,1188
WI2-81516E3.1,1189
C1RL-AS1,1190
VPS13A-AS1,1191
KRBOX1-AS1,1192
AC012531.25,1193
AC012487.2,1194
CDIPT-AS1,1195
RP11-544I20.2,1196
AC091878.1,1197
LINC01020,1198
RP11-760D2.5,1199
DSCR10,1200
BCORP1,1201
RP11-426L16.8,1202
LINC00841,1203
RP11-111I12.1,1204
RP11-1018N14.1,1205
RP5-1039K5.16,1206
AC093690.1,1207
LINC01120,1208
AC016909.1,1209
RP11-554D15.1,1210
MYCNUN,1211
AC097468.4,1212
RP11-30P6.6,1213
AL109763.2,1214
LINC00617,1215
RP11-442O18.2,1216
RP13-539F13.3,1217
RP11-191L9.4,1218
AC114730.3,1219
RP11-151A6.4,1220
RP11-466F5.8,1221
LINC00703,1222
LINC00620,1223
RP11-38C18.2,1224
CITF22-49D8.1,1225
RP11-94M14.2,1226
AP000469.2,1227
RP5-1109J22.2,1228
POT1-AS1,1229
AP001347.6,1230
RP11-225H22.4,1231
RP11-745C15.2,1232
RP11-309M7.1,1233
RP5-991C6.3,1234
RP11-330M19.1,1235
LINC00163,1236
AC073283.7,1237
AC093822.1,1238
DPP10-AS1,1239
LINC01094,1240
CTC-313D10.1,1241
RP11-399E6.1,1242
EPN2-AS1,1243
AC068535.3,1244
LINC00626,1245
LINC00494,1246
PCA3,1247
AC093326.2,1248
LEMD1-AS1,1249
RP11-307P5.2,1250
RP1-140J1.1,1251
RBMS3-AS3,1252
RP13-614K11.2,1253
SORCS3-AS1,1254
RP11-406O16.1,1255
AP000289.6,1256
RP11-407B7.1,1257
AC010145.4,1258
AC097662.2,1259
RP11-432J24.5,1260
LINC00354,1261
RP11-523L1.2,1262
NAV2-AS2,1263
